available;categoryId;cpa;currencyId;delivery;description;discount;id;manufacturer_warranty;market_category;model;modified_time;name;oldprice;param;pickup;picture;price;real_category_name;sales_notes;store;type;typePrefix;url;vendor;vendorCode
true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Толстовки;1;RUB;true;Свитшот Ash. Цвет: белый.  Сезон: Весна-лето 2015.;50;AS069EWFAZ34R400;true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Толстовки;;1471131079;Свитшот Ash;7299;Цвет:белый|Коллекция:Весна-лето 2015|Сезонность:Мульти|Страна-изготовитель:Китай|Размер:40|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ34_1_v1.jpg;3640;Свитшоты;Оплата после примерки.;true;vendor.model;Свитшот;http://www.lamoda.ru/p/AS069EWFAZ34/;Ash;THIS IS IT(SS15-RTW-00613-001)
true;Одежда, обувь и аксессуары/Обувь/Мужская обувь/Мокасины;1;RUB;true;Слипоны Ash. Цвет: мультиколор. Материал: натуральная кожа. Сезон: Весна-лето 2015.;60;AS069AMEKI23E440;true;Одежда, обувь и аксессуары/Обувь/Мужская обувь/Мокасины;;1471131079;Слипоны Ash;16399;Цвет:разноцветный|Коллекция:Весна-лето 2015|Материал верха:натуральная кожа|Сезонность:Демисезон, Лето|Материал подошвы:резина|Страна-изготовитель:Китай|Размер:43|Пол:Мужской|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069AMEKI23_1_v1.jpg;6550;Слипоны;Оплата после примерки.;true;vendor.model;Слипоны;http://www.lamoda.ru/p/AS069AMEKI23/;Ash;LENNON(SS15-ME-107772-006)
true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Юбки;1;RUB;true;Юбка Ash. Цвет: белый.  Сезон: Весна-лето 2015.;40;AS069EWFAZ28F320;true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Юбки;;1471131079;Юбка Ash;9799;Цвет:белый|Коллекция:Весна-лето 2015|Сезонность:Мульти|Страна-изготовитель:Китай|Размер:38|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ28_1_v2.jpg;5870;Юбки-мини;Оплата после примерки.;true;vendor.model;Юбка;http://www.lamoda.ru/p/AS069EWFAZ28/;Ash;JOLY(SS15-RTW-00901-001)
true;Одежда, обувь и аксессуары/Обувь/Женская обувь/Балетки;1;RUB;true;Балетки Ash. Цвет: оранжевый. Материал: натуральная кожа. Сезон: Весна-лето 2015.;50;AS069AWEGG93E390;true;Одежда, обувь и аксессуары/Обувь/Женская обувь/Балетки;;1471131079;Балетки Ash;13699;Цвет:оранжевый|Коллекция:Весна-лето 2015|Материал верха:натуральная кожа|Сезонность:Мульти|Материал подошвы:натуральная кожа|Страна-изготовитель:Китай|Размер:38|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069AWEGG93_1_v1.jpg;6840;Балетки;Оплата после примерки.;true;vendor.model;Балетки;http://www.lamoda.ru/p/AS069AWEGG93/;Ash;INSTINCT(SS15-M-85853-006)
true;Одежда, обувь и аксессуары/Женская одежда/Верхняя одежда/Куртки;1;RUB;true;Куртка утепленная Ash. Цвет: черный.  Сезон: Весна-лето 2015.;60;AS069EWFAZ35F340;true;Одежда, обувь и аксессуары/Женская одежда/Верхняя одежда/Куртки;;1471131079;Куртка утепленная Ash;20199;Цвет:черный|Коллекция:Весна-лето 2015|Сезонность:Демисезон|Страна-изготовитель:Китай|Размер:40|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ35_1_v2.jpg;8070;Демисезонные куртки;Оплата после примерки.;true;vendor.model;Куртка утепленная;http://www.lamoda.ru/p/AS069EWFAZ35/;Ash;TRICKS(SS15-RTW-00310-001)
true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Свитеры и кофты;1;RUB;true;Джемпер Ash. Цвет: черный.  Сезон: Весна-лето 2015.;40;AS069EWFAZ18R440;true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Свитеры и кофты;;1471131079;Джемпер Ash;10299;Цвет:черный|Коллекция:Весна-лето 2015|Сезонность:Мульти|Страна-изготовитель:Китай|Размер:44|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ18_1_v1.jpg;6170;Джемперы и пуловеры;Оплата после примерки.;true;vendor.model;Джемпер;http://www.lamoda.ru/p/AS069EWFAZ18/;Ash;CAPS(SS15-RTW-00603-001)
true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Шорты;1;RUB;true;Шорты Ash. Цвет: черный.  Сезон: Весна-лето 2015.;40;AS069EWFAZ32F360;true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Шорты;;1471131079;Шорты Ash;7999;Цвет:черный|Коллекция:Весна-лето 2015|Сезонность:Лето|Страна-изготовитель:Китай|Размер:42|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ32_1_v1.jpg;4790;Повседневные шорты;Оплата после примерки.;true;vendor.model;Шорты;http://www.lamoda.ru/p/AS069EWFAZ32/;Ash;STORM(SS15-RTW-00802-001)
true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Юбки;1;RUB;true;Юбка Ash. Цвет: белый.  Сезон: Весна-лето 2015.;40;AS069EWFAZ28F340;true;Одежда, обувь и аксессуары/Женская одежда/Одежда/Юбки;;1471131079;Юбка Ash;9799;Цвет:белый|Коллекция:Весна-лето 2015|Сезонность:Мульти|Страна-изготовитель:Китай|Размер:40|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ28_1_v2.jpg;5870;Юбки-мини;Оплата после примерки.;true;vendor.model;Юбка;http://www.lamoda.ru/p/AS069EWFAZ28/;Ash;JOLY(SS15-RTW-00901-001)
true;Одежда, обувь и аксессуары/Обувь/Женская обувь/Кроссовки и кеды;1;RUB;true;Кроссовки Ash. Цвет: белый. Материал: натуральная кожа. Сезон: Весна-лето 2015.;60;AS069AWEEV60E370;true;Одежда, обувь и аксессуары/Обувь/Женская обувь/Кроссовки и кеды;;1471131079;Кроссовки Ash;20999;Цвет:белый|Коллекция:Весна-лето 2015|Материал верха:натуральная кожа|Сезонность:Мульти|Материал подошвы:искусственный материал|Страна-изготовитель:Китай|Размер:36|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069AWEEV60_1_v2.jpg;8390;Низкие кроссовки;Оплата после примерки.;true;vendor.model;Кроссовки;http://www.lamoda.ru/p/AS069AWEEV60/;Ash;HYPE(SS15-S-107246-002)
true;Одежда, обувь и аксессуары/Женская одежда/Верхняя одежда/Куртки;1;RUB;true;Куртка утепленная Ash. Цвет: черный.  Сезон: Весна-лето 2015.;60;AS069EWFAZ35F320;true;Одежда, обувь и аксессуары/Женская одежда/Верхняя одежда/Куртки;;1471131079;Куртка утепленная Ash;20199;Цвет:черный|Коллекция:Весна-лето 2015|Сезонность:Демисезон|Страна-изготовитель:Китай|Размер:38|Пол:Женский|Возраст:Взрослый;true;http://pi.lmcdn.ru/img600x866/A/S/AS069EWFAZ35_1_v2.jpg;8070;Демисезонные куртки;Оплата после примерки.;true;vendor.model;Куртка утепленная;http://www.lamoda.ru/p/AS069EWFAZ35/;Ash;TRICKS(SS15-RTW-00310-001)
